No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,89,0.0007752348506367,2.133888262004e-09,8.00390223998e-13,1.982532313942e-12,-2.4936863415611e-24,-9.074632869324e-17,1.3542401859574e-25,sedih,
2,90,0.0007534092349231,6.910843340185e-10,4.908978523867e-13,1.402682626161e-12,-4.076266858719e-25,-3.148923865683e-17,1.0902395993402e-24,sedih,
3,93,0.0006730605462377,1.0614700914699e-10,7.566869960606e-14,6.6510975643e-14,3.8207578936253e-27,-6.370851033077e-19,-2.7686552592893e-27,sedih,
4,94,0.0007740091387009,2.491782472795e-09,1.7211582137422e-12,4.416605361054e-13,1.3231311905276e-25,-1.3348342111867e-17,-3.616277160307e-25,sedih,
5,95,0.0007132476829309,1.819017402534e-09,1.1403867522527e-12,5.976892105339e-13,-4.798850025369e-25,-2.548897057001e-17,-1.1488629355012e-25,sedih,
6,99,0.0009046895690673,6.733898322933e-08,2.7404521048412e-11,1.1217713514244e-11,-1.9093329301687e-22,-2.9027801680659e-15,-4.721040977846e-23,sedih,
7,100,0.0008104731427933,3.806389559568e-09,1.0337633957945e-11,1.1098336734204e-12,-2.8197252464658e-24,-6.527998624085e-17,2.486134278339e-24,sedih,
8,103,0.0007308133957099,4.3274560814188e-11,2.274355196216e-12,1.1294388244023e-13,5.722955925423e-26,2.541719752421e-19,1.2454292196071e-27,sedih,
9,104,0.0009036440880781,4.1981306958209e-10,7.048539116978e-12,1.4958428912043e-11,6.081367466507e-23,-2.2836607341303e-16,-1.4104353480079e-22,sedih,
10,107,0.0008402137701685,7.953940121e-09,3.282295974366e-11,3.4222791754123e-13,1.3805530191727e-25,-1.3573965771277e-17,-1.1386576641623e-24,sedih,
11,108,0.0009592950218446,1.462042134626e-07,1.6454559172914e-11,7.470712307223e-14,6.363282401451e-26,2.586300080435e-17,5.302475533091e-26,sedih,
