No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,3167,0.0007752348506367595,2.1338882620044196e-09,8.003902239986855e-13,1.982532313942737e-12,-2.4936863415617343e-24,-9.074632869323982e-17,-1.3542401859518706e-25,bahagia,
2,3168,0.0007534092349231018,6.910843340185538e-10,4.908978523867698e-13,1.4026826261615406e-12,-4.0762668587175917e-25,-3.148923865683338e-17,-1.0902395993403218e-24,sedih,
3,3172,0.0006730605462377604,1.0614700914701914e-10,7.566869960608593e-14,6.651097564303227e-14,3.820757893628848e-27,-6.370851033081962e-19,2.768655259291213e-27,sedih,
4,3173,0.0007740091387009626,2.4917824727955643e-09,1.721158213742253e-12,4.416605361054531e-13,1.3231311905274377e-25,-1.3348342111865782e-17,3.6162771603071826e-25,sedih,
5,3174,0.0007132476829309878,1.819017402534077e-09,1.1403867522527532e-12,5.976892105338935e-13,-4.798850025368513e-25,-2.5488970570012567e-17,1.1488629355010379e-25,sedih,
6,3177,0.0009046895690673824,6.733898322933838e-08,2.740452104841172e-11,1.1217713514244722e-11,-1.909332930168784e-22,-2.902780168066046e-15,4.7210409778470753e-23,sedih,
7,3178,0.000810473142793391,3.806389559568958e-09,1.0337633957944935e-11,1.1098336734204635e-12,-2.819725246466125e-24,-6.527998624086492e-17,-2.486134278339202e-24,sedih,
8,3181,0.0007308133957099178,4.3274560814177164e-11,2.274355196216394e-12,1.1294388244022714e-13,5.72295592542276e-26,2.5417197524226413e-19,-1.2454292195813118e-27,sedih,
9,3182,0.0009036440880781139,4.1981306958210985e-10,7.048539116978262e-12,1.495842891204323e-11,6.081367466507686e-23,-2.2836607341305785e-16,1.410435348007986e-22,bahagia,
10,3185,0.0008402137701685639,7.953940121000862e-09,3.282295974365634e-11,3.4222791754157314e-13,1.3805530191656157e-25,-1.3573965771275578e-17,1.1386576641640522e-24,sedih,
11,3186,0.0009592950218446472,1.4620421346268524e-07,1.645455917291459e-11,7.47071230721315e-14,6.363282401440803e-26,2.5863000804309586e-17,-5.302475533076958e-26,sedih,
