No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,3231,0.0007752348506367586,2.133888262004688e-09,8.00390223998433e-13,1.982532313942676e-12,-2.4936863415611943e-24,-9.074632869324559e-17,1.3542401859574542e-25,sedih,
2,3232,0.0007534092349231051,6.910843340185447e-10,4.908978523867853e-13,1.402682626161544e-12,-4.076266858719311e-25,-3.148923865683296e-17,1.0902395993402815e-24,sedih,
3,3235,0.0006730605462377634,1.0614700914699508e-10,7.566869960606758e-14,6.651097564300096e-14,3.8207578936253594e-27,-6.370851033077942e-19,-2.7686552592893707e-27,sedih,
4,3236,0.0007740091387009591,2.491782472795757e-09,1.7211582137422852e-12,4.416605361054903e-13,1.3231311905276485e-25,-1.3348342111867163e-17,-3.616277160307661e-25,sedih,
5,3237,0.0007132476829309893,1.8190174025340037e-09,1.1403867522527275e-12,5.976892105339592e-13,-4.798850025369239e-25,-2.548897057001485e-17,-1.1488629355012557e-25,sedih,
6,3241,0.0009046895690673832,6.733898322933822e-08,2.7404521048412564e-11,1.1217713514244345e-11,-1.9093329301687193e-22,-2.9027801680659467e-15,-4.721040977846831e-23,bahagia,
7,3242,0.0008104731427933914,3.806389559568539e-09,1.0337633957945122e-11,1.1098336734204013e-12,-2.8197252464658764e-24,-6.527998624085761e-17,2.4861342783390583e-24,sedih,
8,3245,0.0007308133957099193,4.3274560814188454e-11,2.274355196216261e-12,1.1294388244023892e-13,5.722955925423432e-26,2.541719752421991e-19,1.2454292196071003e-27,sedih,
9,3246,0.0009036440880781106,4.1981306958209584e-10,7.048539116978347e-12,1.4958428912043188e-11,6.081367466507834e-23,-2.2836607341303813e-16,-1.4104353480079828e-22,sedih,
10,3249,0.0008402137701685652,7.953940121000768e-09,3.2822959743660236e-11,3.4222791754123594e-13,1.3805530191727598e-25,-1.3573965771277241e-17,-1.1386576641623268e-24,sedih,
11,3250,0.0009592950218446467,1.462042134626825e-07,1.6454559172914747e-11,7.470712307223783e-14,6.363282401451583e-26,2.586300080435068e-17,5.302475533091708e-26,sedih,
